"Story","Title","Result","Date","Stability","Duration (s)"
"Booking functionality","Admin should be able to generate a new auth token successfully by entering the","SUCCESS","2022-06-15T23:01:48.955+01:00[Europe/London]","0.0","0.76"
"Booking functionality","User should able to create new booking","SUCCESS","2022-06-15T23:01:49.796+01:00[Europe/London]","0.0","0.57"
"Booking functionality","User should able to update bookings","SUCCESS","2022-06-15T23:01:50.394+01:00[Europe/London]","0.0","1.44"
